	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	1	1	1
1	valutare il premio	2	1	2
2	ristrutturare il sistema	1	1	1
3	edificare l'appartamento	3	2	2
4	demolire l'appartamento	4	5	5
5	sostenere il programma	3	1	1
6	visitare la biblioteca	5	5	5
7	distruggere la torre	5	5	5
8	istituire il corso	3	1	2
9	visitare la torre	5	5	5
10	istituire la proposta	1	1	1
11	demolire l'economia	1	1	1
12	valutare il programma	2	1	2
13	valutare il progetto	2	1	2
14	sospendere il progetto	3	2	3
15	sostenere il servizio	3	1	2
16	distruggere la biblioteca	4	2	3
17	mantenere la torre	2	1	1
18	valutare il corso	3	2	3
19	valutare la proposta	3	1	1
20	sospendere il sistema	1	1	1
21	istituire il premio	1	1	1
22	edificare il sistema	1	1	2
23	sospendere il programma	2	1	2
24	sostenere il sistema	1	1	1
25	edificare il museo	2	2	3
26	edificare l'economia	1	1	1
27	istituire l'economia	1	1	1
28	sostenere la proposta	3	2	3
29	sospendere la proposta	2	1	2
30	demolire il sistema	1	1	1
31	valutare l'economia	2	1	2
32	costruire la biblioteca	4	5	5
33	istituire il programma	1	1	1
34	ristrutturare il museo	5	4	5
35	costruire la torre	4	5	5
36	istituire il programma	1	1	2
37	sostenere l'economia	3	1	1
38	demolire il museo	4	5	5
39	mantenere la biblioteca	3	1	1
40	sospendere il corso	4	3	3
41	istituire il progetto	1	1	1
42	sospendere l'economia	1	1	1
43	valutare il servizio	2	1	2
