	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	5	1	1
1	valutare il premio	5	1	1
2	ristrutturare il sistema	5	1	3
3	edificare l'appartamento	5	5	5
4	demolire l'appartamento	5	5	5
5	sostenere il programma	5	1	3
6	edificare la biblioteca	5	3	5
7	istituire il corso	5	3	3
8	istituire la proposta	5	3	1
9	demolire l'economia	5	1	1
10	valutare il programma	5	1	3
11	valutare il progetto	5	1	3
12	sospendere il progetto	5	3	3
13	sostenere il servizio	5	1	1
14	valutare il corso	5	1	3
15	valutare la proposta	5	1	3
16	sospendere il sistema	5	1	1
17	istituire il premio	5	3	3
18	edificare il sistema	5	5	1
19	sospendere il programma	5	3	3
20	sostenere il sistema	5	1	3
21	edificare il museo	5	5	5
22	edificare l'economia	5	1	1
23	istituire l'economia	5	1	1
24	sostenere la proposta	5	1	3
25	sospendere la proposta	5	1	3
26	demolire il sistema	5	1	1
27	valutare l'economia	5	1	1
28	demolire la biblioteca	5	5	5
29	ristrutturare il museo	5	5	5
30	istituire il programma	5	3	3
31	sostenere l'economia	5	3	3
32	demolire il museo	5	5	5
33	ristrutturare la biblioteca	5	5	5
34	sospendere il corso	5	3	3
35	istituire il progetto	5	3	3
36	sospendere l'economia	5	1	1
37	valutare il servizio	5	1	3
