	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	istituire il mercato	1.0	2.0	3.0
1	ristrutturare il collegio	1.0	4.0	4.0
2	valutare la condizione	5.0	2.0	4.0
3	distruggere il duomo	1.0	2.0	3.0
4	aiutare lo sviluppo	1.0	2.0	4.0
5	sostenere lo sviluppo	1.0	2.0	3.0
6	costruire la famiglia	1.0	3.0	5.0
7	istituire il sistema	1.0	3.0	2.0
8	valutare il mercato	1.0	1.0	3.0
9	valutare l'ospedale	3.0	3.0	4.0
10	sospendere la partenza	3.0	2.0	4.0
11	istituire l'ospedale	1.0	2.0	2.0
12	ristrutturare l'ospedale	1.0	4.0	5.0
13	sostenere la caserma	1.0	2.0	2.0
14	valutare la proposta	4.0	2.0	4.0
15	sospendere l'ufficio	1.0	2.0	1.0
16	visitare il comitato	1.0	3.0	2.0
17	aiutare l'ospedale	3.0	4.0	4.0
18	aiutare il mercato	1.0	2.0	1.0
19	costruire l'edificio	2.0	5.0	5.0
20	edificare il socialismo	1.0	1.0	1.0
21	aiutare il cliente	2.0	4.0	5.0
22	ristrutturare l'ufficio	2.0	4.0	5.0
23	demolire la chiesa	1.0	4.0	5.0
24	sostenere la chiesa	1.0	2.0	5.0
25	sospendere il collegio	1.0	2.0	3.0
26	sostenere la causa	3.0	2.0	3.0
27	sospendere il pagamento	3.0	3.0	5.0
28	edificare la caserma	1.0	4.0	5.0
29	sostenere il progetto	3.0	4.0	4.0
30	istituire la chiesa	1.0	3.0	3.0
31	valutare l'ufficio	1.0	3.0	3.0
32	mantenere il palazzo	2.0	3.0	3.0
33	costruire il duomo	2.0	4.0	5.0
34	sospendere il mercato	1.0	3.0	2.0
35	sospendere il processo	1.0	4.0	4.0
36	edificare la casa	2.0	4.0	5.0
37	distruggere l'esercito	1.0	2.0	4.0
38	sospendere lo sciopero	2.0	4.0	4.0
39	sostenere lo sforzo	4.0	4.0	4.0
40	visitare l'edificio	4.0	4.0	5.0
41	mantenere la squadra	4.0	4.0	5.0
42	valutare l'ipotesi	4.0	3.0	5.0
43	visitare il castello	3.0	5.0	5.0
44	istituire il servizio	2.0	3.0	2.0
45	distruggere la famiglia	1.0	3.0	3.0
46	demolire il collegio	1.0	2.0	2.0
47	edificare l'ospedale	1.0	4.0	2.0
48	distruggere il castello	1.0	4.0	4.0
49	aiutare la chiesa	1.0	3.0	3.0
50	aiutare la persona	3.0	4.0	4.0
51	costruire il comitato	1.0	2.0	1.0
52	demolire il mercato	1.0	2.0	1.0
53	costruire il grattacielo	2.0	4.0	5.0
54	istituire la caserma	1.0	3.0	1.0
55	mantenere il castello	1.0	3.0	3.0
56	mantenere l'edificio	2.0	4.0	3.0
57	ristrutturare la scuola	2.0	4.0	5.0
58	istituire la commissione	1.0	3.0	2.0
59	distruggere il reggimento	1.0	2.0	1.0
60	distruggere la brigata	1.0	2.0	1.0
61	distruggere la squadra	2.0	3.0	4.0
62	ristrutturare l'azienda	2.0	4.0	4.0
63	sostenere il contrario	3.0	2.0	5.0
64	costruire il condominio	3.0	5.0	5.0
65	aiutare l'ufficio	2.0	3.0	4.0
66	costruire il reggimento	1.0	2.0	1.0
67	sospendere la seduta	2.0	5.0	4.0
68	ristrutturare il mercato	1.0	2.0	1.0
69	ristrutturare lo albergo	2.0	5.0	5.0
70	visitare la palazzina	3.0	4.0	4.0
71	demolire la casa	3.0	5.0	5.0
72	sostenere l'ospedale	3.0	2.0	4.0
73	aiutare la crescita	4.0	3.0	4.0
74	valutare la chiesa	1.0	2.0	2.0
75	sospendere lo albergo	1.0	1.0	1.0
76	demolire la torre	1.0	4.0	4.0
77	sostenere il mercato	1.0	2.0	1.0
78	aiutare il processo	2.0	2.0	2.0
79	valutare la situazione	4.0	4.0	4.0
80	edificare il collegio	1.0	3.0	2.0
81	valutare l'efficacia	4.0	3.0	4.0
82	edificare lo albergo	1.0	3.0	3.0
83	istituire la scuola	2.0	4.0	3.0
84	aiutare lo albergo	1.0	3.0	2.0
85	costruire il partito	1.0	3.0	4.0
86	costruire l'esercito	1.0	4.0	3.0
87	visitare la famiglia	4.0	5.0	5.0
88	aiutare la caserma	1.0	2.0	2.0
89	distruggere la palazzina	1.0	3.0	3.0
90	edificare la torre	1.0	4.0	2.0
91	valutare il collegio	2.0	2.0	3.0
92	aiutare il bambino	4.0	5.0	5.0
93	valutare lo albergo	2.0	2.0	2.0
94	mantenere il monumento	1.0	2.0	2.0
95	costruire il monumento	1.0	3.0	3.0
96	mantenere il comitato	1.0	4.0	1.0
