	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	istituire il mercato	1	1	2
1	ristrutturare il collegio	2	5	3
2	valutare la condizione	5	1	1
3	distruggere il duomo	5	5	5
4	aiutare lo sviluppo	5	1	1
5	sostenere lo sviluppo	5	1	1
6	costruire la famiglia	5	1	4
7	istituire il sistema	3	1	1
8	valutare il mercato	2	2	2
9	valutare l'ospedale	5	3	3
10	sospendere la partenza	4	3	4
11	istituire l'ospedale	4	2	1
12	ristrutturare l'ospedale	5	5	5
13	sostenere la caserma	5	3	3
14	valutare la proposta	5	1	4
15	sospendere l'ufficio	4	3	4
16	visitare il comitato	3	4	4
17	aiutare l'ospedale	5	2	3
18	aiutare il mercato	5	1	1
19	costruire l'edificio	5	5	5
20	edificare il socialismo	2	1	4
21	aiutare il cliente	5	1	2
22	ristrutturare l'ufficio	5	5	5
23	demolire la chiesa	5	5	5
24	sostenere la chiesa	5	2	4
25	sospendere il collegio	3	2	2
26	sostenere la causa	5	1	3
27	sospendere il pagamento	5	3	4
28	edificare la caserma	5	5	5
29	sostenere il progetto	5	3	4
30	istituire la chiesa	4	2	3
31	valutare l'ufficio	4	3	4
32	mantenere il palazzo	5	4	5
33	costruire il duomo	5	5	5
34	sospendere il mercato	4	2	1
35	sospendere il processo	5	3	3
36	edificare la casa	5	5	5
37	distruggere l'esercito	5	5	4
38	sospendere lo sciopero	5	3	4
39	sostenere lo sforzo	4	5	4
40	visitare l'edificio	5	4	4
41	mantenere la squadra	4	3	2
42	valutare l'ipotesi	5	2	1
43	visitare il castello	5	5	5
44	istituire il servizio	3	1	1
45	distruggere la famiglia	5	5	5
46	demolire il collegio	5	5	5
47	edificare l'ospedale	5	5	5
48	distruggere il castello	5	5	5
49	aiutare la chiesa	5	2	3
50	aiutare la persona	5	4	1
51	costruire il comitato	4	4	4
52	demolire il mercato	4	3	2
53	costruire il grattacielo	5	5	5
54	istituire la caserma	4	4	2
55	mantenere il castello	5	3	1
56	mantenere l'edificio	5	3	1
57	ristrutturare la scuola	5	3	1
58	istituire la commissione	4	2	1
59	distruggere il reggimento	4	4	5
60	distruggere la brigata	4	3	2
61	distruggere la squadra	5	5	5
62	ristrutturare l'azienda	5	4	3
63	sostenere il contrario	5	2	1
64	costruire il condominio	5	5	5
65	aiutare l'ufficio	5	2	1
66	costruire il reggimento	4	4	2
67	sospendere la seduta	5	2	1
68	ristrutturare il mercato	4	2	2
69	ristrutturare lo albergo	5	5	5
70	visitare la palazzina	5	3	2
71	demolire la casa	5	5	5
72	sostenere l'ospedale	5	4	2
73	aiutare la crescita	4	5	2
74	valutare la chiesa	5	2	2
75	sospendere lo albergo	5	3	3
76	demolire la torre	5	5	5
77	sostenere il mercato	4	2	2
78	aiutare il processo	5	2	2
79	valutare la situazione	5	4	1
80	edificare il collegio	5	5	5
81	valutare l'efficacia	5	5	1
82	edificare lo albergo	5	5	5
83	istituire la scuola	5	2	3
84	aiutare lo albergo	5	1	1
85	costruire il partito	4	2	3
86	costruire l'esercito	5	4	1
87	visitare la famiglia	5	5	5
88	aiutare la caserma	5	3	1
89	distruggere la palazzina	5	5	5
90	edificare la torre	5	5	5
91	valutare il collegio	5	4	4
92	aiutare il bambino	5	4	5
93	valutare lo albergo	5	4	2
94	mantenere il monumento	5	5	3
95	costruire il monumento	5	5	5
96	mantenere il comitato	4	4	2
97	visitare l'esercito	5	3	1
98	demolire il muro	5	5	5
99	sostenere l'esame	5	5	5
100	demolire la scuola	5	5	5
101	sostenere l'ufficio	5	4	3
102	distruggere il condominio	5	5	5
103	costruire la squadra	5	2	2
104	ristrutturare l'appartamento	5	5	5
105	sospendere l'ospedale	5	4	1
106	mantenere l'esercito	5	3	1
107	istituire il collegio	4	3	2
108	visitare il palazzo	5	5	5
109	valutare il risultato	5	5	2
110	edificare la fortezza	5	5	5
111	edificare la scuola	5	5	5
112	valutare l'impatto	5	4	3
113	edificare il mercato	3	2	2
114	mantenere la famiglia	5	5	2
115	sostenere la scuola	5	4	3
116	costruire il castello	5	5	5
117	distruggere il palazzo	5	5	5
118	demolire l'ufficio	5	5	5
119	valutare la scuola	5	4	2
120	mantenere il partito	4	2	2
121	istituire il tribunale	4	1	2
122	sospendere il servizio	5	2	1
123	visitare il monumento	5	5	5
124	distruggere il monumento	5	5	5
125	ristrutturare la casa	5	5	3
126	visitare il duomo	5	5	5
127	aiutare il collegio	4	3	1
128	istituire l'ufficio	3	1	1
129	sospendere la scuola	5	1	1
130	istituire il consiglio	5	1	1
131	sospendere la partita	5	4	5
132	mantenere il duomo	5	5	5
133	demolire l'ospedale	5	5	5
134	demolire la fondamenta	5	5	5
135	edificare la chiesa	5	5	5
136	valutare il rischio	5	2	1
137	visitare il partito	4	3	2
138	valutare la caserma	5	2	2
139	sospendere la chiesa	5	1	1
140	mantenere la palazzina	5	4	4
141	costruire il palazzo	5	5	5
142	ristrutturare la caserma	5	5	5
143	ristrutturare l'economia	4	1	1
144	distruggere l'edificio	5	5	5
145	sostenere lo albergo	5	3	3
146	mantenere il condominio	5	3	3
147	ristrutturare la chiesa	5	5	3
148	sostenere il collegio	5	2	1
149	demolire lo albergo	5	5	5
150	sostenere la tesi	5	2	2
151	sospendere la caserma	5	2	1
152	costruire la brigata	3	3	1
153	edificare la villa	5	5	5
154	visitare la brigata	3	3	1
155	valutare il caso	5	1	1
156	visitare il reggimento	4	5	5
157	istituire lo albergo	4	3	1
158	edificare il muro	5	5	5
159	demolire la caserma	5	5	5
160	visitare la squadra	5	5	5
161	costruire la palazzina	5	5	5
162	distruggere il comitato	4	3	1
163	aiutare il popolo	5	3	5
164	edificare l'ufficio	5	5	5
165	aiutare la scuola	5	1	2
166	distruggere il partito	4	1	3
