	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	5	5	5
1	sostenere la caserma	1	2	1
2	valutare la proposta	4	4	5
3	aiutare il collegio	1	5	5
4	istituire l'ufficio	2	4	4
5	visitare la brigata	1	5	5
6	distruggere il monumento	5	5	5
7	costruire l'edificio	5	5	5
8	edificare il socialismo	1	2	1
9	aiutare il cliente	4	4	4
10	istituire il mercato	1	1	1
11	ristrutturare il collegio	1	1	1
12	valutare la condizione	4	4	4
13	distruggere il duomo	1	5	5
14	costruire il duomo	2	5	5
15	sospendere il mercato	1	2	1
16	sospendere il processo	2	5	5
17	edificare la casa	5	5	5
18	distruggere l'esercito	1	5	5
19	sospendere lo sciopero	5	5	5
20	sostenere lo sforzo	5	3	5
21	visitare l'edificio	5	5	5
22	mantenere la squadra	2	2	4
23	valutare l'ipotesi	5	2	5
24	mantenere il castello	5	5	5
25	mantenere l'edificio	5	5	5
26	ristrutturare la scuola	5	5	5
27	istituire la commissione	1	3	1
28	distruggere il reggimento	1	4	4
29	distruggere la brigata	1	4	4
30	distruggere la squadra	2	4	3
31	ristrutturare l'azienda	5	5	4
32	sostenere il contrario	5	5	5
33	costruire il condominio	5	5	5
34	aiutare l'ufficio	3	3	3
35	costruire il reggimento	1	4	3
36	sospendere la seduta	4	5	4
37	ristrutturare il mercato	1	3	3
38	ristrutturare lo albergo	5	5	5
39	visitare la palazzina	5	5	5
40	demolire la casa	5	5	5
41	sostenere l'ospedale	2	2	5
42	aiutare la crescita	2	2	4
43	valutare la chiesa	5	2	4
44	sospendere lo albergo	3	2	3
45	demolire la torre	3	5	3
46	sostenere il mercato	1	1	5
47	aiutare il processo	3	4	4
48	valutare la situazione	5	4	5
49	edificare il collegio	5	5	5
50	valutare l'efficacia	5	4	5
51	edificare lo albergo	5	5	5
52	istituire la scuola	1	4	5
53	aiutare lo albergo	3	4	5
54	costruire il partito	3	5	5
55	costruire l'esercito	3	5	5
56	visitare la famiglia	5	5	5
57	aiutare la caserma	1	2	5
58	costruire il monumento	3	5	5
59	mantenere il comitato	1	2	3
60	visitare l'esercito	1	5	5
61	demolire il muro	5	5	5
62	sostenere l'esame	5	5	5
63	demolire la scuola	5	5	5
64	sostenere l'ufficio	3	2	5
65	distruggere il condominio	5	5	5
66	sospendere l'ufficio	1	2	5
67	visitare il comitato	1	2	5
68	sospendere l'ospedale	1	2	5
69	visitare il castello	5	5	5
70	istituire il servizio	3	4	3
71	distruggere la famiglia	5	5	5
72	demolire il collegio	5	5	5
73	edificare l'ospedale	5	5	5
74	edificare la scuola	5	5	5
75	valutare l'impatto	5	5	5
76	edificare il mercato	1	2	5
77	mantenere la famiglia	5	5	5
78	sostenere la scuola	3	4	5
79	costruire il castello	5	5	5
80	distruggere il palazzo	5	5	5
81	costruire la palazzina	5	5	5
82	distruggere il comitato	1	2	5
83	valutare il rischio	5	4	5
84	mantenere il monumento	5	5	5
85	sospendere la scuola	4	4	4
86	istituire il consiglio	2	2	2
87	sospendere la partita	5	5	5
88	mantenere il duomo	4	4	5
89	costruire la squadra	4	2	5
90	ristrutturare l'appartamento	5	5	5
91	valutare il caso	5	4	5
92	visitare il reggimento	1	3	5
93	istituire lo albergo	1	3	5
94	ristrutturare la chiesa	5	5	5
95	sostenere il collegio	2	3	5
96	ristrutturare la casa	5	5	5
97	visitare il duomo	5	5	5
98	demolire l'ufficio	5	5	5
99	valutare la scuola	5	5	5
100	mantenere il partito	5	3	5
101	istituire il tribunale	3	3	5
102	sospendere il servizio	4	4	5
103	visitare il monumento	5	5	5
104	distruggere il castello	5	5	5
105	edificare il muro	5	5	5
106	demolire la caserma	1	5	5
107	visitare la squadra	3	5	5
108	aiutare il popolo	2	3	3
109	edificare l'ufficio	2	5	4
110	aiutare la scuola	2	3	2
111	distruggere il partito	3	5	2
112	demolire l'ospedale	5	5	5
113	demolire la fondamenta	5	5	5
114	edificare la chiesa	5	5	5
115	sospendere la chiesa	2	1	1
116	mantenere la palazzina	4	3	2
117	mantenere il condominio	4	3	3
118	costruire il palazzo	5	5	5
119	ristrutturare la caserma	5	5	5
120	visitare il partito	2	5	4
121	valutare la caserma	3	3	3
122	aiutare la persona	5	5	5
123	costruire il comitato	1	1	3
124	demolire il mercato	1	1	2
125	costruire il grattacielo	5	5	5
126	istituire la caserma	1	3	3
127	distruggere la palazzina	5	5	5
128	edificare la torre	5	5	5
129	valutare il collegio	2	5	3
130	aiutare il bambino	5	5	5
