	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	istituire il mercato	4	2	2
1	ristrutturare il collegio	5	4	4
2	valutare la condizione	4	2	3
3	distruggere il duomo	4	5	5
4	aiutare lo sviluppo	4	3	3
5	sostenere lo sviluppo	3	3	2
6	costruire la famiglia	4	4	4
7	istituire il sistema	2	1	2
8	valutare il mercato	4	4	2
9	valutare l'ospedale	4	4	3
10	sospendere la partenza	4	3	2
11	istituire l'ospedale	4	3	2
12	ristrutturare l'ospedale	5	5	4
13	sostenere la caserma	4	3	2
14	valutare la proposta	4	4	3
15	sospendere l'ufficio	4	2	2
16	visitare il comitato	4	3	2
17	aiutare l'ospedale	4	4	4
18	aiutare il mercato	4	2	2
19	costruire l'edificio	5	5	5
20	edificare il socialismo	4	2	1
21	aiutare il cliente	4	4	4
22	ristrutturare l'ufficio	5	5	5
23	demolire la chiesa	5	4	5
24	sostenere la chiesa	4	4	4
25	sospendere il collegio	4	3	3
26	sostenere la causa	4	3	2
27	sospendere il pagamento	4	5	4
28	edificare la caserma	4	5	5
29	sostenere il progetto	4	3	3
30	istituire la chiesa	4	2	2
31	valutare l'ufficio	5	4	4
32	mantenere il palazzo	4	3	2
33	costruire il duomo	5	5	5
34	sospendere il mercato	4	2	2
35	sospendere il processo	4	4	3
36	edificare la casa	5	5	5
37	distruggere l'esercito	5	5	5
38	sospendere lo sciopero	4	4	3
39	sostenere lo sforzo	4	2	2
40	visitare l'edificio	5	4	4
41	mantenere la squadra	4	3	2
42	valutare l'ipotesi	4	2	3
43	visitare il castello	5	4	4
44	istituire il servizio	4	2	3
45	distruggere la famiglia	4	3	3
46	demolire il collegio	5	5	5
47	edificare l'ospedale	5	5	5
48	distruggere il castello	5	5	5
49	aiutare la chiesa	4	3	3
50	aiutare la persona	4	3	3
51	costruire il comitato	5	2	2
52	demolire il mercato	4	2	2
53	costruire il grattacielo	5	5	5
54	istituire la caserma	5	3	3
55	mantenere il castello	5	3	3
56	mantenere l'edificio	5	3	3
57	ristrutturare la scuola	5	4	4
58	istituire la commissione	4	3	2
59	distruggere il reggimento	4	4	3
60	distruggere la brigata	3	4	3
61	distruggere la squadra	4	4	3
62	ristrutturare l'azienda	4	3	3
63	sostenere il contrario	4	2	2
64	costruire il condominio	5	5	5
65	aiutare l'ufficio	4	3	3
66	costruire il reggimento	3	3	2
67	sospendere la seduta	4	2	2
68	ristrutturare il mercato	3	2	2
69	ristrutturare lo albergo	5	4	4
70	visitare la palazzina	5	4	4
71	demolire la casa	5	5	5
72	sostenere l'ospedale	4	3	3
73	aiutare la crescita	4	2	2
74	valutare la chiesa	4	4	2
75	sospendere lo albergo	4	2	2
76	demolire la torre	5	5	5
77	sostenere il mercato	4	2	2
78	aiutare il processo	4	2	2
79	valutare la situazione	4	2	3
80	edificare il collegio	5	5	5
81	valutare l'efficacia	4	2	3
82	edificare lo albergo	5	4	5
83	istituire la scuola	4	3	2
84	aiutare lo albergo	4	3	3
85	costruire il partito	4	3	3
86	costruire l'esercito	4	3	3
87	visitare la famiglia	4	4	4
88	aiutare la caserma	4	3	3
89	distruggere la palazzina	5	5	5
90	edificare la torre	5	5	5
91	valutare il collegio	4	3	3
92	aiutare il bambino	4	4	4
93	valutare lo albergo	4	4	3
94	mantenere il monumento	4	3	2
95	costruire il monumento	5	5	5
96	mantenere il comitato	4	3	2
97	visitare l'esercito	4	3	3
98	demolire il muro	5	5	5
99	sostenere l'esame	5	5	5
100	demolire la scuola	5	5	5
101	sostenere l'ufficio	4	3	2
102	distruggere il condominio	5	5	5
103	costruire la squadra	4	3	3
104	ristrutturare l'appartamento	5	4	4
105	sospendere l'ospedale	4	3	2
106	mantenere l'esercito	4	2	2
107	istituire il collegio	4	2	2
108	visitare il palazzo	5	4	4
109	valutare il risultato	4	3	3
110	edificare la fortezza	5	5	5
111	edificare la scuola	5	5	5
112	valutare l'impatto	4	3	2
113	edificare il mercato	4	2	2
114	mantenere la famiglia	4	3	3
115	sostenere la scuola	4	3	2
116	costruire il castello	5	5	5
117	distruggere il palazzo	5	5	5
118	demolire l'ufficio	5	5	5
119	valutare la scuola	4	3	3
120	mantenere il partito	4	2	2
121	istituire il tribunale	3	2	2
122	sospendere il servizio	4	3	2
123	visitare il monumento	4	4	4
124	distruggere il monumento	5	5	5
125	ristrutturare la casa	5	4	5
126	visitare il duomo	5	4	5
127	aiutare il collegio	4	3	2
128	istituire l'ufficio	4	2	2
129	sospendere la scuola	4	2	2
130	istituire il consiglio	4	2	2
131	sospendere la partita	4	4	3
132	mantenere il duomo	4	3	3
133	demolire l'ospedale	5	5	5
134	demolire la fondamenta	5	5	5
135	edificare la chiesa	5	5	5
136	valutare il rischio	4	4	3
137	visitare il partito	4	3	3
138	valutare la caserma	4	3	3
139	sospendere la chiesa	3	2	2
140	mantenere la palazzina	4	2	3
141	costruire il palazzo	5	5	5
142	ristrutturare la caserma	5	4	4
143	ristrutturare l'economia	4	2	3
144	distruggere l'edificio	5	5	5
145	sostenere lo albergo	4	4	3
146	mantenere il condominio	4	3	3
147	ristrutturare la chiesa	4	2	2
148	sostenere il collegio	4	3	2
149	demolire lo albergo	5	5	5
150	sostenere la tesi	4	4	3
151	sospendere la caserma	4	2	2
152	costruire la brigata	3	2	2
153	edificare la villa	5	5	5
154	visitare la brigata	3	3	3
155	valutare il caso	4	3	3
156	visitare il reggimento	4	3	3
157	istituire lo albergo	4	2	2
158	edificare il muro	5	5	5
159	demolire la caserma	5	5	5
160	visitare la squadra	4	4	4
161	costruire la palazzina	5	5	5
162	distruggere il comitato	4	2	3
163	aiutare il popolo	4	4	3
164	edificare l'ufficio	5	5	5
165	aiutare la scuola	4	3	2
166	distruggere il partito	5	4	2
