	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	4	3	4
1	sostenere la caserma	3	4	3
2	valutare la proposta	5	3	5
3	aiutare il collegio	3	3	3
4	istituire l'ufficio	2	4	3
5	visitare la brigata	3	5	2
6	distruggere il monumento	4	5	3
7	costruire l'edificio	4	4	4
8	edificare il socialismo	4	5	2
9	aiutare il cliente	5	5	4
10	istituire il mercato	2	5	3
11	ristrutturare il collegio	3	3	4
12	valutare la condizione	4	3	3
13	distruggere il duomo	3	4	4
14	costruire il duomo	3	2	5
15	sospendere il mercato	4	2	4
16	sospendere il processo	4	4	5
17	edificare la casa	2	4	5
18	distruggere l'esercito	2	2	3
19	sospendere lo sciopero	3	1	4
20	sostenere lo sforzo	4	2	5
21	visitare l'edificio	4	3	2
22	mantenere la squadra	5	2	4
23	valutare l'ipotesi	4	2	5
24	mantenere il castello	3	2	2
25	mantenere l'edificio	4	2	3
26	ristrutturare la scuola	3	3	4
27	istituire la commissione	4	4	4
28	distruggere il reggimento	2	2	4
29	distruggere la brigata	4	5	3
30	distruggere la squadra	5	3	2
31	ristrutturare l'azienda	3	3	4
32	sostenere il contrario	3	2	2
33	costruire il condominio	4	4	3
34	aiutare l'ufficio	4	5	3
35	costruire il reggimento	5	3	3
36	sospendere la seduta	5	3	3
37	ristrutturare il mercato	4	2	5
38	ristrutturare lo albergo	3	2	5
39	visitare la palazzina	3	5	4
40	demolire la casa	3	5	3
41	sostenere l'ospedale	4	4	4
42	aiutare la crescita	4	3	5
43	valutare la chiesa	3	3	5
44	sospendere lo albergo	2	4	4
45	demolire la torre	3	2	3
46	sostenere il mercato	4	5	2
47	aiutare il processo	3	3	2
48	valutare la situazione	4	2	4
49	edificare il collegio	2	3	2
50	valutare l'efficacia	2	3	1
51	edificare lo albergo	3	3	3
52	istituire la scuola	4	4	2
53	aiutare lo albergo	4	1	4
54	costruire il partito	3	4	3
55	costruire l'esercito	3	3	2
56	visitare la famiglia	3	2	2
57	aiutare la caserma	4	3	3
58	costruire il monumento	4	4	4
59	mantenere il comitato	3	3	2
60	visitare l'esercito	4	2	3
61	demolire il muro	5	3	4
62	sostenere l'esame	4	3	4
63	demolire la scuola	3	3	2
64	sostenere l'ufficio	4	3	4
65	distruggere il condominio	3	2	3
66	sospendere l'ufficio	3	3	2
67	visitare il comitato	4	4	5
68	sospendere l'ospedale	2	3	3
69	visitare il castello	3	5	4
70	istituire il servizio	3	3	2
71	distruggere la famiglia	4	3	3
72	demolire il collegio	2	4	4
73	edificare l'ospedale	3	3	3
74	edificare la scuola	3	2	2
75	valutare l'impatto	2	3	3
76	edificare il mercato	3	4	4
77	mantenere la famiglia	2	2	2
78	sostenere la scuola	2	4	2
79	costruire il castello	3	4	4
80	distruggere il palazzo	4	4	2
81	costruire la palazzina	3	4	2
82	distruggere il comitato	4	3	2
83	valutare il rischio	5	2	2
84	mantenere il monumento	3	3	3
85	sospendere la scuola	2	2	4
86	istituire il consiglio	3	3	4
87	sospendere la partita	4	4	3
88	mantenere il duomo	3	3	4
89	costruire la squadra	3	4	3
90	ristrutturare l'appartamento	3	5	3
91	valutare il caso	5	3	2
92	visitare il reggimento	5	2	3
93	istituire lo albergo	5	4	4
