	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	5	5	5
1	sostenere la caserma	3	3	1
2	valutare la proposta	4	2	4
3	aiutare il collegio	2	4	3
4	istituire l'ufficio	3	2	2
5	visitare la brigata	1	2	1
6	distruggere il monumento	5	5	5
7	costruire l'edificio	5	5	5
8	edificare il socialismo	2	2	3
9	aiutare il cliente	4	3	4
10	istituire il mercato	2	3	2
11	ristrutturare il collegio	3	5	5
12	valutare la condizione	3	2	4
13	distruggere il duomo	4	5	5
14	costruire il duomo	4	5	5
15	sospendere il mercato	3	2	3
16	sospendere il processo	3	2	3
17	edificare la casa	4	5	5
18	distruggere l'esercito	3	4	3
19	sospendere lo sciopero	4	3	4
20	sostenere lo sforzo	3	1	3
21	visitare l'edificio	5	2	4
22	mantenere la squadra	2	3	2
23	valutare l'ipotesi	4	3	3
24	mantenere il castello	2	3	3
25	mantenere l'edificio	3	3	3
26	ristrutturare la scuola	5	5	5
27	istituire la commissione	1	2	3
28	distruggere il reggimento	1	5	3
29	distruggere la brigata	2	5	3
30	distruggere la squadra	2	3	3
31	ristrutturare l'azienda	4	5	5
32	sostenere il contrario	5	1	5
33	costruire il condominio	4	5	5
34	aiutare l'ufficio	3	2	3
35	costruire il reggimento	2	3	3
36	sospendere la seduta	5	2	4
37	ristrutturare il mercato	3	3	3
38	ristrutturare lo albergo	5	5	5
39	visitare la palazzina	4	2	4
40	demolire la casa	5	5	5
41	sostenere l'ospedale	5	2	3
42	aiutare la crescita	3	2	3
43	valutare la chiesa	4	2	4
44	sospendere lo albergo	3	2	4
45	demolire la torre	4	5	5
46	sostenere il mercato	2	2	3
47	aiutare il processo	3	2	4
48	valutare la situazione	4	2	4
49	edificare il collegio	1	4	3
50	valutare l'efficacia	3	3	4
51	edificare lo albergo	5	5	5
52	istituire la scuola	3	2	4
53	aiutare lo albergo	4	2	3
54	costruire il partito	3	1	3
55	costruire l'esercito	3	3	3
56	visitare la famiglia	4	1	5
57	aiutare la caserma	3	2	3
58	costruire il monumento	5	5	5
59	mantenere il comitato	3	2	3
60	visitare l'esercito	3	2	4
61	demolire il muro	5	5	5
62	sostenere l'esame	5	5	5
63	demolire la scuola	5	5	5
64	sostenere l'ufficio	2	2	3
65	distruggere il condominio	5	5	5
66	sospendere l'ufficio	2	2	3
67	visitare il comitato	3	2	3
68	sospendere l'ospedale	2	2	3
69	visitare il castello	5	4	5
70	istituire il servizio	3	3	3
71	distruggere la famiglia	4	3	4
72	demolire il collegio	2	3	3
73	edificare l'ospedale	5	5	5
74	edificare la scuola	5	5	5
75	valutare l'impatto	3	3	3
76	edificare il mercato	3	4	3
77	mantenere la famiglia	5	4	4
78	sostenere la scuola	5	2	3
79	costruire il castello	5	5	5
80	distruggere il palazzo	5	5	5
81	costruire la palazzina	4	5	5
82	distruggere il comitato	3	3	3
83	valutare il rischio	3	3	4
84	mantenere il monumento	3	4	4
85	sospendere la scuola	3	2	4
86	istituire il consiglio	3	2	3
87	sospendere la partita	5	3	4
88	mantenere il duomo	4	4	4
89	costruire la squadra	5	3	3
90	ristrutturare l'appartamento	5	5	5
91	valutare il caso	4	1	2
92	visitare il reggimento	2	2	3
93	istituire lo albergo	3	2	3
94	ristrutturare la chiesa	5	4	5
95	sostenere il collegio	3	2	3
96	ristrutturare la casa	5	5	5
97	visitare il duomo	5	2	4
98	demolire l'ufficio	5	5	5
99	valutare la scuola	3	3	3
100	mantenere il partito	3	2	2
101	istituire il tribunale	2	3	3
102	sospendere il servizio	4	2	3
103	visitare il monumento	5	2	4
104	distruggere il castello	5	5	5
105	edificare il muro	5	5	5
106	demolire la caserma	4	5	5
107	visitare la squadra	4	2	3
108	aiutare il popolo	5	3	3
109	edificare l'ufficio	5	4	4
110	aiutare la scuola	5	3	3
111	distruggere il partito	4	2	3
112	demolire l'ospedale	4	5	5
113	demolire la fondamenta	3	5	5
114	edificare la chiesa	5	4	4
115	sospendere la chiesa	4	2	3
116	mantenere la palazzina	3	3	4
117	mantenere il condominio	3	3	4
118	costruire il palazzo	5	5	5
119	ristrutturare la caserma	4	5	5
120	visitare il partito	3	2	3
121	valutare la caserma	3	2	3
122	aiutare la persona	5	3	3
123	costruire il comitato	3	2	3
124	demolire il mercato	5	3	3
125	costruire il grattacielo	5	5	5
126	istituire la caserma	2	3	3
127	distruggere la palazzina	5	5	5
128	edificare la torre	5	5	5
129	valutare il collegio	3	2	4
130	aiutare il bambino	5	4	5
131	valutare lo albergo	4	2	3
132	ristrutturare l'economia	3	3	3
133	distruggere l'edificio	5	5	5
134	sostenere lo albergo	3	2	3
135	demolire lo albergo	5	5	5
136	sostenere la tesi	4	3	4
137	sospendere la caserma	3	2	3
138	costruire la brigata	3	4	3
139	edificare la villa	5	5	5
140	mantenere l'esercito	3	4	3
141	istituire il collegio	3	3	3
142	visitare il palazzo	5	4	5
143	valutare il risultato	4	3	4
144	edificare la fortezza	4	5	5
145	sostenere il progetto	3	2	3
146	istituire la chiesa	4	2	3
147	valutare l'ufficio	4	2	4
148	mantenere il palazzo	4	5	4
149	aiutare l'ospedale	5	3	4
150	aiutare il mercato	5	3	3
151	aiutare la chiesa	5	2	3
152	ristrutturare l'ufficio	4	5	5
153	aiutare lo sviluppo	4	3	4
154	sostenere lo sviluppo	4	2	3
155	costruire la famiglia	3	3	4
156	istituire il sistema	3	2	3
157	valutare il mercato	3	3	3
158	valutare l'ospedale	3	3	4
159	sospendere la partenza	4	2	3
160	istituire l'ospedale	3	3	3
161	demolire la chiesa	5	5	5
162	sostenere la chiesa	5	3	4
163	sospendere il collegio	3	2	3
164	sostenere la causa	3	3	3
165	sospendere il pagamento	4	2	2
166	edificare la caserma	5	5	4
