	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	istituire il mercato	2	1	1
1	ristrutturare il collegio	3	2	2
2	valutare la condizione	5	1	1
3	distruggere il duomo	2	3	3
4	aiutare lo sviluppo	5	1	1
5	sostenere lo sviluppo	5	1	1
6	costruire la famiglia	5	1	3
7	istituire il sistema	4	1	1
8	valutare il mercato	4	1	1
9	valutare l'ospedale	4	1	1
10	sospendere la partenza	5	1	2
11	istituire l'ospedale	2	2	1
12	ristrutturare l'ospedale	4	3	3
13	sostenere la caserma	3	1	1
14	valutare la proposta	5	1	1
15	sospendere l'ufficio	1	1	1
16	visitare il comitato	3	1	2
17	aiutare l'ospedale	5	1	1
18	aiutare il mercato	4	1	1
19	costruire l'edificio	5	2	3
20	edificare il socialismo	1	1	1
21	aiutare il cliente	5	2	1
22	ristrutturare l'ufficio	5	2	2
23	demolire la chiesa	5	3	3
24	sostenere la chiesa	5	1	1
25	sospendere il collegio	4	1	1
26	sostenere la causa	5	1	1
27	sospendere il pagamento	5	1	1
28	edificare la caserma	4	2	2
29	sostenere il progetto	5	1	1
30	istituire la chiesa	3	2	1
31	valutare l'ufficio	3	2	1
32	mantenere il palazzo	2	1	1
33	costruire il duomo	5	3	3
34	sospendere il mercato	4	1	1
35	sospendere il processo	5	1	1
36	edificare la casa	5	3	3
37	distruggere l'esercito	3	1	2
38	sospendere lo sciopero	5	1	1
39	sostenere lo sforzo	5	1	1
40	visitare l'edificio	5	2	4
41	mantenere la squadra	4	1	1
42	valutare l'ipotesi	5	1	1
43	visitare il castello	5	2	4
44	istituire il servizio	3	1	1
45	distruggere la famiglia	5	1	2
46	demolire il collegio	2	1	2
47	edificare l'ospedale	4	2	3
48	distruggere il castello	5	2	4
49	aiutare la chiesa	4	1	1
50	aiutare la persona	5	1	1
51	costruire il comitato	5	1	1
52	demolire il mercato	3	1	1
53	costruire il grattacielo	5	2	4
54	istituire la caserma	3	1	1
55	mantenere il castello	2	1	1
56	mantenere l'edificio	2	1	1
57	ristrutturare la scuola	4	2	3
58	istituire la commissione	4	1	1
59	distruggere il reggimento	2	1	1
60	distruggere la brigata	2	1	1
61	distruggere la squadra	2	1	1
62	ristrutturare l'azienda	4	1	2
63	sostenere il contrario	5	1	1
64	costruire il condominio	2	2	4
65	aiutare l'ufficio	3	1	1
66	costruire il reggimento	2	1	1
67	sospendere la seduta	5	1	1
68	ristrutturare il mercato	3	1	1
69	ristrutturare lo albergo	3	2	3
70	visitare la palazzina	5	2	4
71	demolire la casa	5	2	4
72	sostenere l'ospedale	3	1	1
73	aiutare la crescita	5	1	1
74	valutare la chiesa	2	1	1
75	sospendere lo albergo	2	1	1
76	demolire la torre	5	2	4
77	sostenere il mercato	4	1	1
78	aiutare il processo	3	1	1
79	valutare la situazione	5	2	1
80	edificare il collegio	3	2	1
81	valutare l'efficacia	5	2	1
82	edificare lo albergo	2	2	3
83	istituire la scuola	2	1	1
84	aiutare lo albergo	2	1	1
85	costruire il partito	2	1	1
86	costruire l'esercito	2	1	1
87	visitare la famiglia	4	1	2
88	aiutare la caserma	2	1	1
89	distruggere la palazzina	5	2	4
90	edificare la torre	5	2	4
91	valutare il collegio	3	1	1
92	aiutare il bambino	5	1	1
93	valutare lo albergo	2	2	1
94	mantenere il monumento	2	1	1
95	costruire il monumento	3	2	4
96	mantenere il comitato	2	1	1
97	visitare l'esercito	1	2	2
98	demolire il muro	5	2	4
99	sostenere l'esame	5	1	2
100	demolire la scuola	4	2	4
101	sostenere l'ufficio	2	1	1
102	distruggere il condominio	2	2	4
103	costruire la squadra	2	1	2
104	ristrutturare l'appartamento	5	2	4
105	sospendere l'ospedale	2	1	1
106	mantenere l'esercito	3	1	1
107	istituire il collegio	2	1	1
108	visitare il palazzo	5	2	5
109	valutare il risultato	5	2	1
110	edificare la fortezza	2	2	3
111	edificare la scuola	2	2	3
112	valutare l'impatto	4	2	1
113	edificare il mercato	2	2	1
114	mantenere la famiglia	5	1	2
115	sostenere la scuola	3	1	1
116	costruire il castello	4	2	4
117	distruggere il palazzo	4	2	5
118	demolire l'ufficio	4	2	4
119	valutare la scuola	3	2	1
120	mantenere il partito	2	1	1
121	istituire il tribunale	1	1	1
122	sospendere il servizio	3	1	1
123	visitare il monumento	5	2	4
124	distruggere il monumento	3	2	4
125	ristrutturare la casa	5	2	5
126	visitare il duomo	5	2	5
127	aiutare il collegio	2	1	1
128	istituire l'ufficio	2	1	1
129	sospendere la scuola	4	1	1
130	istituire il consiglio	2	1	1
131	sospendere la partita	5	1	2
132	mantenere il duomo	2	1	1
133	demolire l'ospedale	4	2	3
134	demolire la fondamenta	5	2	4
135	edificare la chiesa	4	1	4
136	valutare il rischio	5	1	1
137	visitare il partito	1	2	1
138	valutare la caserma	1	2	1
139	sospendere la chiesa	1	1	1
140	mantenere la palazzina	3	1	1
141	costruire il palazzo	5	2	4
142	ristrutturare la caserma	5	2	2
143	ristrutturare l'economia	2	1	1
144	distruggere l'edificio	5	2	4
145	sostenere lo albergo	2	1	1
146	mantenere il condominio	2	1	1
147	ristrutturare la chiesa	3	2	3
148	sostenere il collegio	2	1	1
149	demolire lo albergo	4	2	4
150	sostenere la tesi	5	1	2
151	sospendere la caserma	1	1	1
152	costruire la brigata	1	1	1
153	edificare la villa	3	2	3
154	visitare la brigata	1	1	1
155	valutare il caso	5	2	1
156	visitare il reggimento	1	2	2
157	istituire lo albergo	1	1	1
158	edificare il muro	4	2	4
159	demolire la caserma	2	2	3
160	visitare la squadra	2	2	2
161	costruire la palazzina	4	2	4
162	distruggere il comitato	2	1	1
163	aiutare il popolo	5	1	1
164	edificare l'ufficio	2	2	2
165	aiutare la scuola	4	1	1
166	distruggere il partito	2	1	1
