	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	istituire il mercato	1	1	1
1	ristrutturare il collegio	2	4	4
2	valutare la condizione	5	3	3
3	distruggere il duomo	1	5	5
4	aiutare lo sviluppo	2	3	3
5	sostenere lo sviluppo	4	3	3
6	costruire la famiglia	3	2	2
7	istituire il sistema	2	1	2
8	valutare il mercato	2	3	3
9	valutare l'ospedale	2	3	3
10	sospendere la partenza	4	5	5
11	istituire l'ospedale	3	2	3
12	ristrutturare l'ospedale	3	5	4
13	sostenere la caserma	2	3	3
14	valutare la proposta	5	3	5
15	sospendere l'ufficio	3	4	4
16	visitare il comitato	3	4	4
17	aiutare l'ospedale	3	5	4
18	aiutare il mercato	2	3	3
19	costruire l'edificio	4	5	5
20	edificare il socialismo	1	1	1
21	aiutare il cliente	3	4	5
22	ristrutturare l'ufficio	5	5	5
23	demolire la chiesa	2	5	5
24	sostenere la chiesa	3	4	3
25	sospendere il collegio	2	2	2
26	sostenere la causa	5	1	3
27	sospendere il pagamento	4	4	4
28	edificare la caserma	2	5	5
29	sostenere il progetto	3	3	3
30	istituire la chiesa	3	2	2
31	valutare l'ufficio	4	3	4
32	mantenere il palazzo	2	3	3
33	costruire il duomo	3	5	5
34	sospendere il mercato	1	3	3
35	sospendere il processo	1	3	3
36	edificare la casa	4	5	5
37	distruggere l'esercito	3	5	5
38	sospendere lo sciopero	4	3	3
39	sostenere lo sforzo	5	5	5
40	visitare l'edificio	4	5	5
41	mantenere la squadra	3	4	5
42	valutare l'ipotesi	5	2	4
43	visitare il castello	2	5	5
44	istituire il servizio	3	4	4
45	distruggere la famiglia	1	2	2
46	demolire il collegio	1	5	5
47	edificare l'ospedale	2	5	5
48	distruggere il castello	1	5	5
49	aiutare la chiesa	3	4	4
50	aiutare la persona	3	4	5
51	costruire il comitato	2	1	1
52	demolire il mercato	2	3	3
53	costruire il grattacielo	2	5	5
54	istituire la caserma	3	3	3
55	mantenere il castello	1	2	2
56	mantenere l'edificio	4	5	5
57	ristrutturare la scuola	5	5	5
58	istituire la commissione	3	4	4
59	distruggere il reggimento	1	3	3
60	distruggere la brigata	1	2	2
61	distruggere la squadra	3	3	3
62	ristrutturare l'azienda	4	5	5
63	sostenere il contrario	5	2	5
64	costruire il condominio	3	5	5
65	aiutare l'ufficio	3	4	4
66	costruire il reggimento	3	2	3
67	sospendere la seduta	4	4	4
68	ristrutturare il mercato	3	4	4
69	ristrutturare lo albergo	3	5	5
70	visitare la palazzina	5	5	5
71	demolire la casa	5	5	5
72	sostenere l'ospedale	3	4	3
73	aiutare la crescita	4	3	5
74	valutare la chiesa	2	2	2
75	sospendere lo albergo	3	4	4
76	demolire la torre	1	5	4
77	sostenere il mercato	3	2	2
78	aiutare il processo	3	3	3
79	valutare la situazione	4	4	5
80	edificare il collegio	3	5	5
81	valutare l'efficacia	4	3	4
82	edificare lo albergo	1	5	5
83	istituire la scuola	4	5	5
84	aiutare lo albergo	4	3	2
85	costruire il partito	1	1	2
86	costruire l'esercito	3	2	3
87	visitare la famiglia	4	2	3
88	aiutare la caserma	3	3	3
89	distruggere la palazzina	4	5	5
90	edificare la torre	2	5	5
91	valutare il collegio	3	2	4
92	aiutare il bambino	4	5	5
93	valutare lo albergo	3	4	4
94	mantenere il monumento	2	3	3
95	costruire il monumento	3	2	4
96	mantenere il comitato	1	2	2
97	visitare l'esercito	2	1	1
98	demolire il muro	4	5	5
99	sostenere l'esame	5	5	5
100	demolire la scuola	5	5	5
101	sostenere l'ufficio	1	1	1
102	distruggere il condominio	3	5	5
103	costruire la squadra	2	3	3
104	ristrutturare l'appartamento	3	3	3
105	sospendere l'ospedale	3	4	3
106	mantenere l'esercito	2	3	3
107	istituire il collegio	2	1	1
108	visitare il palazzo	5	5	5
109	valutare il risultato	4	3	5
110	edificare la fortezza	3	3	3
111	edificare la scuola	2	2	3
112	valutare l'impatto	4	2	3
113	edificare il mercato	1	2	2
114	mantenere la famiglia	4	5	5
115	sostenere la scuola	3	4	3
116	costruire il castello	1	2	3
117	distruggere il palazzo	3	5	5
118	demolire l'ufficio	4	2	3
119	valutare la scuola	2	3	3
120	mantenere il partito	2	4	3
121	istituire il tribunale	1	1	1
122	sospendere il servizio	2	3	2
123	visitare il monumento	4	5	5
124	distruggere il monumento	2	5	5
125	ristrutturare la casa	5	5	5
126	visitare il duomo	1	5	5
127	aiutare il collegio	1	2	2
128	istituire l'ufficio	2	2	3
129	sospendere la scuola	4	3	3
130	istituire il consiglio	3	2	3
131	sospendere la partita	4	5	5
132	mantenere il duomo	1	2	3
133	demolire l'ospedale	3	5	5
134	demolire la fondamenta	5	5	5
135	edificare la chiesa	1	2	2
136	valutare il rischio	4	4	4
137	visitare il partito	1	1	1
138	valutare la caserma	3	2	2
139	sospendere la chiesa	3	2	3
140	mantenere la palazzina	4	5	5
141	costruire il palazzo	5	5	5
142	ristrutturare la caserma	2	4	5
143	ristrutturare l'economia	3	2	2
144	distruggere l'edificio	4	5	5
145	sostenere lo albergo	2	4	4
146	mantenere il condominio	4	4	4
147	ristrutturare la chiesa	2	4	4
148	sostenere il collegio	1	2	3
149	demolire lo albergo	4	5	5
150	sostenere la tesi	5	5	5
151	sospendere la caserma	1	1	1
152	costruire la brigata	1	1	1
