	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	1	2	1
1	valutare il premio	2	2	2
2	ristrutturare il sistema	1	1	1
3	edificare l'appartamento	2	3	3
4	demolire l'appartamento	3	4	4
5	sostenere il programma	2	2	2
6	edificare la biblioteca	2	3	2
7	istituire il corso	2	3	2
8	istituire la proposta	3	3	3
9	demolire l'economia	1	2	2
10	valutare il programma	2	2	3
11	valutare il progetto	3	3	3
12	sospendere il progetto	3	3	4
13	sostenere il servizio	1	1	1
14	valutare il corso	3	2	3
15	valutare la proposta	3	2	2
16	sospendere il sistema	1	1	1
17	istituire il premio	1	2	2
18	edificare il sistema	1	1	1
19	sospendere il programma	1	1	2
20	sostenere il sistema	1	1	2
21	edificare il museo	1	2	1
22	edificare l'economia	1	1	1
23	istituire l'economia	1	1	1
24	sostenere la proposta	3	2	3
25	sospendere la proposta	3	2	3
26	demolire il sistema	1	1	2
27	valutare l'economia	1	1	1
28	demolire la biblioteca	1	3	3
29	ristrutturare il museo	1	3	2
30	istituire il programma	2	1	2
31	sostenere l'economia	2	2	2
32	demolire il museo	1	3	3
33	ristrutturare la biblioteca	1	3	3
34	sospendere il corso	1	1	2
35	istituire il progetto	2	1	2
36	sospendere l'economia	1	1	1
37	valutare il servizio	3	3	3
