	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	2	5
1	presentare la domanda	5	2	3
2	spiegare il motivo	5	3	4
3	consultare la sezione	4	2	4
4	consultare l'elenco	5	3	4
5	presentare l'istanza	3	3	3
6	presentare il progetto	5	3	4
7	spiegare la parola	5	3	2
8	spiegare la situazione	5	2	2
9	consultare l'appendice	4	4	4
10	presentare la denuncia	5	3	3
11	presentare il programma	5	3	3
12	consultare l'esperto	5	3	4
13	presentare il problema	5	3	3
14	spiegare la ragione	5	3	2
15	consultare la tabella	5	4	3
16	spiegare il significato	5	3	2
17	spiegare il concetto	5	3	2
