	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	5	3	1
1	valutare il premio	3	2	2
2	ristrutturare il sistema	1	3	1
3	edificare l'appartamento	3	5	5
4	demolire l'appartamento	5	3	5
5	sostenere il programma	5	2	4
6	edificare la biblioteca	5	5	5
7	istituire il corso	3	2	3
8	istituire la proposta	1	2	3
9	demolire l'economia	1	1	2
10	valutare il programma	5	2	3
11	valutare il progetto	5	3	5
12	sospendere il progetto	4	3	4
13	sostenere il servizio	1	2	2
14	valutare il corso	5	3	5
15	valutare la proposta	5	4	3
16	sospendere il sistema	1	2	1
17	istituire il premio	2	4	2
18	edificare il sistema	2	2	1
19	sospendere il programma	5	3	3
20	sostenere il sistema	4	3	3
21	edificare il museo	5	4	5
22	edificare l'economia	1	1	1
23	istituire l'economia	1	1	2
24	sostenere la proposta	5	2	2
25	sospendere la proposta	5	2	3
26	demolire il sistema	2	4	3
27	valutare l'economia	5	2	2
28	demolire la biblioteca	5	1	5
29	ristrutturare il museo	5	4	5
30	istituire il programma	3	5	3
31	sostenere l'economia	5	3	4
32	demolire il museo	5	2	5
33	ristrutturare la biblioteca	5	4	5
34	sospendere il corso	5	2	4
35	istituire il progetto	4	3	3
36	sospendere l'economia	1	2	2
37	valutare il servizio	4	2	3
