	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	3	1	1
1	valutare il premio	3	1	2
2	ristrutturare il sistema	2	1	1
3	edificare l'appartamento	1	1	2
4	demolire l'appartamento	1	3	4
5	sostenere il programma	4	3	3
6	edificare la biblioteca	1	1	2
7	istituire il corso	1	1	2
8	istituire la proposta	3	1	1
9	demolire l'economia	3	2	2
10	valutare il programma	4	2	3
11	valutare il progetto	3	1	3
12	sospendere il progetto	2	1	3
13	sostenere il servizio	2	2	3
14	valutare il corso	3	1	4
15	valutare la proposta	3	2	3
16	sospendere il sistema	3	1	3
17	istituire il premio	2	1	2
18	edificare il sistema	1	1	1
19	sospendere il programma	2	1	3
20	sostenere il sistema	3	4	3
21	edificare il museo	1	4	3
22	edificare l'economia	1	3	2
23	istituire l'economia	1	2	2
24	sostenere la proposta	4	3	3
25	sospendere la proposta	3	3	3
26	demolire il sistema	3	1	4
27	valutare l'economia	3	1	2
28	demolire la biblioteca	1	4	4
29	ristrutturare il museo	1	4	4
30	istituire il programma	1	1	3
31	sostenere l'economia	2	2	3
32	demolire il museo	1	4	4
33	ristrutturare la biblioteca	2	5	2
34	sospendere il corso	2	1	3
35	istituire il progetto	3	1	2
36	sospendere l'economia	1	2	2
37	valutare il servizio	2	2	3
