	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	3	4	3
1	presentare la domanda	3	4	4
2	spiegare il motivo	4	3	3
3	consultare la sezione	3	3	4
4	consultare l'elenco	3	3	4
5	presentare l'istanza	2	3	4
6	presentare il progetto	4	4	3
7	spiegare la parola	2	2	3
8	spiegare la situazione	4	3	4
9	consultare l'appendice	3	4	3
10	presentare la denuncia	2	3	3
11	presentare il programma	3	3	4
12	consultare l'esperto	3	4	3
13	presentare il problema	3	4	4
14	spiegare la ragione	4	3	4
15	consultare la tabella	3	3	4
16	spiegare il significato	4	3	3
17	spiegare il concetto	4	4	3
