	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	4	5	5
1	sostenere la caserma	3	4	3
2	valutare la proposta	5	3	3
3	aiutare il collegio	3	4	2
4	istituire l'ufficio	2	3	1
5	visitare la brigata	2	3	1
6	distruggere il monumento	4	5	5
7	costruire l'edificio	5	5	5
8	edificare il socialismo	2	1	1
9	aiutare il cliente	4	4	4
10	istituire il mercato	2	1	1
11	ristrutturare il collegio	4	5	4
12	valutare la condizione	5	1	2
13	distruggere il duomo	4	5	4
14	costruire il duomo	4	5	4
15	sospendere il mercato	3	3	1
16	sospendere il processo	2	2	1
17	edificare la casa	2	3	3
18	distruggere l'esercito	2	4	2
19	sospendere lo sciopero	3	2	3
20	sostenere lo sforzo	3	2	2
21	visitare l'edificio	5	4	5
22	mantenere la squadra	2	3	1
23	valutare l'ipotesi	5	2	2
24	mantenere il castello	2	3	2
25	mantenere l'edificio	2	3	2
26	ristrutturare la scuola	4	5	4
27	istituire la commissione	4	3	4
28	distruggere il reggimento	2	4	2
29	distruggere la brigata	2	4	2
30	distruggere la squadra	2	4	2
31	ristrutturare l'azienda	3	3	4
32	sostenere il contrario	5	1	3
33	costruire il condominio	4	5	4
34	aiutare l'ufficio	2	1	2
35	costruire il reggimento	2	3	1
36	sospendere la seduta	3	2	4
37	ristrutturare il mercato	2	2	1
38	ristrutturare lo albergo	3	5	4
39	visitare la palazzina	2	4	4
40	demolire la casa	3	5	5
41	sostenere l'ospedale	3	3	4
42	aiutare la crescita	3	3	4
43	valutare la chiesa	2	1	2
44	sospendere lo albergo	1	1	1
45	demolire la torre	2	5	4
46	sostenere il mercato	2	1	2
47	aiutare il processo	3	3	2
48	valutare la situazione	5	2	4
49	edificare il collegio	1	3	3
50	valutare l'efficacia	5	1	2
51	edificare lo albergo	2	5	3
52	istituire la scuola	3	3	2
53	aiutare lo albergo	1	3	1
54	costruire il partito	2	3	2
55	costruire l'esercito	1	3	1
56	visitare la famiglia	5	4	5
57	aiutare la caserma	1	2	1
58	costruire il monumento	3	5	5
59	mantenere il comitato	3	2	2
60	visitare l'esercito	1	3	3
61	demolire il muro	3	5	5
62	sostenere l'esame	5	4	5
63	demolire la scuola	4	5	4
64	sostenere l'ufficio	2	2	2
65	distruggere il condominio	1	5	4
66	sospendere l'ufficio	2	1	2
67	visitare il comitato	3	2	3
68	sospendere l'ospedale	1	2	2
69	visitare il castello	3	5	5
70	istituire il servizio	5	4	4
71	distruggere la famiglia	3	1	2
72	demolire il collegio	2	5	4
73	edificare l'ospedale	2	4	3
74	edificare la scuola	3	4	3
75	valutare l'impatto	4	2	2
76	edificare il mercato	1	2	1
77	mantenere la famiglia	5	2	3
78	sostenere la scuola	5	3	4
79	costruire il castello	3	5	4
80	distruggere il palazzo	3	5	4
81	costruire la palazzina	3	5	4
82	distruggere il comitato	2	2	2
83	valutare il rischio	5	1	3
84	mantenere il monumento	2	3	2
85	sospendere la scuola	4	3	4
86	istituire il consiglio	4	3	3
87	sospendere la partita	4	3	4
88	mantenere il duomo	2	3	2
89	costruire la squadra	3	3	3
90	ristrutturare l'appartamento	4	5	4
91	valutare il caso	5	1	4
92	visitare il reggimento	2	3	1
93	istituire lo albergo	2	3	1
94	ristrutturare la chiesa	3	5	4
95	sostenere il collegio	3	2	3
96	ristrutturare la casa	4	5	4
97	visitare il duomo	5	4	5
98	demolire l'ufficio	3	5	5
99	valutare la scuola	4	2	4
100	mantenere il partito	3	3	2
101	istituire il tribunale	2	2	2
102	sospendere il servizio	5	3	4
103	visitare il monumento	5	4	5
104	distruggere il castello	2	5	4
105	edificare il muro	3	5	4
106	demolire la caserma	2	5	3
107	visitare la squadra	3	4	4
108	aiutare il popolo	4	3	3
109	edificare l'ufficio	2	5	3
110	aiutare la scuola	4	3	3
111	distruggere il partito	3	2	2
112	demolire l'ospedale	2	5	4
113	demolire la fondamenta	2	5	2
114	edificare la chiesa	2	5	3
115	sospendere la chiesa	2	2	2
116	mantenere la palazzina	1	2	1
117	mantenere il condominio	1	2	1
118	costruire il palazzo	4	5	4
119	ristrutturare la caserma	3	5	4
120	visitare il partito	2	3	3
121	valutare la caserma	1	2	2
122	aiutare la persona	4	4	5
123	costruire il comitato	2	3	3
124	demolire il mercato	2	2	2
125	costruire il grattacielo	4	5	5
126	istituire la caserma	2	3	2
127	distruggere la palazzina	3	5	4
128	edificare la torre	2	5	3
129	valutare il collegio	3	3	2
130	aiutare il bambino	4	5	5
131	valutare lo albergo	3	3	3
132	ristrutturare l'economia	3	2	2
133	distruggere l'edificio	2	5	4
134	sostenere lo albergo	2	2	1
135	demolire lo albergo	3	5	4
136	sostenere la tesi	5	2	4
137	sospendere la caserma	1	2	1
138	costruire la brigata	1	2	1
139	edificare la villa	3	5	4
140	mantenere l'esercito	3	3	2
141	istituire il collegio	2	3	2
142	visitare il palazzo	4	4	4
143	valutare il risultato	5	3	4
144	edificare la fortezza	3	5	4
145	sostenere il progetto	5	3	4
146	istituire la chiesa	3	2	2
147	valutare l'ufficio	3	2	2
148	mantenere il palazzo	2	2	1
149	aiutare l'ospedale	3	3	2
150	aiutare il mercato	2	2	1
151	aiutare la chiesa	3	2	4
152	ristrutturare l'ufficio	4	5	5
153	aiutare lo sviluppo	3	3	2
154	sostenere lo sviluppo	3	3	2
155	costruire la famiglia	4	4	4
156	istituire il sistema	2	2	1
157	valutare il mercato	4	2	2
158	valutare l'ospedale	2	3	3
159	sospendere la partenza	4	3	4
160	istituire l'ospedale	2	3	1
161	demolire la chiesa	2	5	4
162	sostenere la chiesa	3	3	4
163	sospendere il collegio	2	2	1
164	sostenere la causa	4	3	3
165	sospendere il pagamento	4	3	4
166	edificare la caserma	2	4	3
